phrase,ratio_balanced,ai_docs,human_docs,ai_per_1000,human_per_1000,regs_ratio_ge2,top_reg_share,register_skewed,gen2026_per_1000,humanv2_per_1000,generalises
i told her,18.23,133,10,23.52,1.01,2,0.98,True,0.0,0.97,False
media contact,18.23,93,2,16.45,0.2,2,1.0,True,32.37,0.48,True
a revised version,17.97,28,1,4.95,0.1,3,0.96,True,0.5,0.24,False
your boiler,17.88,73,1,12.91,0.1,4,0.59,False,25.15,0.24,True
immediate release,17.87,91,2,16.09,0.2,2,1.0,True,31.87,0.48,True
the midlands,17.85,72,1,12.73,0.1,4,0.5,False,24.65,0.0,True
distinction matters,17.6,59,0,10.43,0.0,4,0.47,False,20.92,0.0,True
high stakes,17.54,75,3,13.26,0.3,6,0.65,False,19.67,0.72,True
eight weeks,17.52,119,6,21.04,0.61,5,0.59,False,43.33,0.97,True
early life and education,17.09,36,1,6.37,0.1,3,1.0,True,0.0,0.0,False
the rollout,16.66,74,2,13.09,0.2,5,0.53,False,23.66,0.48,True
west midlands,16.43,66,1,11.67,0.1,5,0.56,False,20.42,0.0,True
thinks i,16.41,44,1,7.78,0.1,3,1.0,True,0.0,0.24,False
she said i was,16.38,32,0,5.66,0.0,3,1.0,True,0.0,0.0,False
taxable turnover,16.34,40,0,7.07,0.0,3,0.53,False,17.93,0.0,True
is genuinely,16.3,96,3,16.98,0.3,4,0.46,False,31.37,0.72,True
a radiator,16.24,51,0,9.02,0.0,4,0.88,True,17.93,0.0,True
vat registration,16.24,42,0,7.43,0.0,4,0.45,False,18.92,0.0,True
post hoc,16.22,63,1,11.14,0.1,3,0.97,True,17.93,0.0,True
filling loop,16.17,52,0,9.2,0.0,3,0.92,True,17.43,0.0,True
debtor days,16.09,48,0,8.49,0.0,4,0.65,False,20.42,0.0,True
academy trust,15.99,62,0,10.96,0.0,4,0.98,True,23.41,0.0,True
for uk,15.96,81,2,14.32,0.2,3,0.77,True,30.13,0.24,True
the maths,15.96,50,0,8.84,0.0,4,0.48,False,20.17,0.24,True
called me,15.95,66,6,11.67,0.61,3,0.97,True,0.5,0.24,False
eighteen months,15.87,120,3,21.22,0.3,5,0.48,False,42.58,0.48,True
multi academy,15.81,61,0,10.79,0.0,4,0.97,True,22.91,0.0,True
flat rate scheme,15.72,48,0,8.49,0.0,4,0.46,False,19.17,0.0,True
rate scheme,15.72,48,0,8.49,0.0,4,0.46,False,19.17,0.0,True
rolling month,15.67,39,0,6.9,0.0,5,0.51,False,16.68,0.0,True
in leeds,15.49,77,1,13.62,0.1,5,0.82,True,28.64,0.24,True
bridging finance,15.48,60,0,10.61,0.0,3,1.0,True,21.66,0.0,True
and said i was,15.47,30,0,5.31,0.0,3,1.0,True,0.0,0.0,False
the intricate,15.43,25,1,4.42,0.1,5,0.48,False,0.5,0.24,False
limited companies,15.41,59,0,10.43,0.0,3,0.95,True,19.42,0.0,True
life and education,15.39,36,2,6.37,0.2,3,1.0,True,0.0,0.0,False
problem not a,15.39,55,0,9.73,0.0,3,0.64,False,20.42,0.0,True
street banks,15.34,58,0,10.26,0.0,3,0.9,True,18.92,0.0,True
high street banks,15.34,58,0,10.26,0.0,3,0.9,True,18.92,0.0,True
text for the,15.33,54,1,9.55,0.1,5,0.28,False,0.25,0.24,False
matters because,15.32,69,2,12.2,0.2,5,0.46,False,25.9,0.24,True
vat returns,15.32,51,0,9.02,0.0,4,0.69,False,19.42,0.0,True
cash accounting,15.29,50,0,8.84,0.0,4,0.54,False,19.42,0.0,True
its existing,15.2,30,1,5.31,0.1,3,0.5,False,8.47,0.24,True
